,subject,predicate,object
6665,English,is language at,36.9 % just ahead of Mandarin
6666,English,is spoken language at,36.9 % of population ahead of Mandarin
6667,English,is,language at home at 36.9 % of population just ahead of Mandarin
6668,English,is language at,36.9 % just ahead
6669,English,is,language at home at 36.9 % just ahead
6670,English,is,language at home at 36.9 % ahead of Mandarin
6671,English,is most spoken language at,home
6672,English,is,most spoken language at home at 36.9 % just ahead of Mandarin
6673,English,is,spoken language
6674,English,is most spoken language at,36.9 % of population ahead
6675,English,is,spoken language at home at 36.9 % of population ahead of Mandarin
6676,English,is most spoken language at,36.9 % of population just ahead of Mandarin
6677,English,is,spoken language at home at 36.9 % of population just ahead of Mandarin
6678,English,is most spoken language at,36.9 % ahead of Mandarin
6679,English,is,most spoken language
6680,English,is,most spoken language at home at 36.9 %
6681,English,is most spoken language at,36.9 % of population ahead of Mandarin
6682,English,is,language at home at 36.9 % of population just ahead
6683,English,is spoken language at,36.9 % ahead of Mandarin
6684,English,is,most spoken language at home at 36.9 % of population just ahead of Mandarin
6685,English,is language at,36.9 % of population just ahead
6686,English,is spoken language at,home
6687,English,is language at,36.9 % ahead
6688,English,is,most spoken language at home at 36.9 % just ahead
6689,English,is,spoken language at home at 36.9 % ahead of Mandarin
6690,English,is language at,36.9 %
6691,English,is,most spoken language at home at 36.9 % of population ahead of Mandarin
6692,English,is,spoken language at home at 36.9 % of population
6693,English,is spoken language at,36.9 % of population just ahead
6694,English,is most spoken language at,36.9 % ahead
6695,English,is most spoken language at,36.9 % of population just ahead
6696,English,is,spoken language at home at 36.9 % of population just ahead
6697,English,is language at,36.9 % of population ahead
6698,English,is language at,36.9 % of population ahead of Mandarin
6699,English,is most spoken language at,36.9 % of population
6700,English,is spoken language at,36.9 % just ahead of Mandarin
6701,English,is,language at home at 36.9 %
6702,English,is,spoken language at home at 36.9 %
6703,English,is,spoken language at home at 36.9 % of population ahead
6704,English,is spoken language at,36.9 % just ahead
6705,English,is most spoken language at,36.9 %
6706,use,is declining in,favour of Mandarin
6707,use,is declining in,favour
6708,Singapore Chinese characters,using,Chinese characters
6709,Singapore Chinese characters,using,simplified characters
6710,Singapore Chinese characters,using,simplified Chinese characters
6711,Singapore Chinese characters,using,characters
6712,Singapore Chinese characters,are,written
6713,English,is,based
6714,English,owing to,country 's status
6715,English,owing to,country 's status as former crown colony
6716,English,is,largely based
6717,English,is based on,British English
6718,English,is largely based on,English
6719,English,is largely based on,British English
6720,country,to,status as former crown colony
6721,English,is based on,English
6722,Education,is,supported
6723,Education,is,mostly supported
6724,Education,is supported by,state
6725,Education,is mostly supported by,state
6726,English,is language in,public schools
6727,English,is,language of instruction in public schools
6728,language,is in,public schools
6729,subjects,are taught except for,mother tongue language paper
6730,it,is used,mother tongue in general refers to language
6731,it,is used,mother tongue in general refers to first language internationally
6732,it,is used,mother tongue refers to first language internationally
6733,mother tongue,refers internationally to,first language
6734,it,is used,mother tongue refers internationally
6735,mother tongue,is in,general
6736,it,is used,mother tongue refers to language internationally
6737,it,is,used
6738,English,is,first language
6739,it,is used,mother tongue refers
6740,mother tongue,refers internationally to,language
6741,it,refer to,language
6742,mother tongue,refers to,language
6743,English,is,language
6744,it,is used,mother tongue in general refers to first language
6745,it,is used,mother tongue refers to language
6746,it,is used,mother tongue refers to first language
6747,it,is used in,Singapore 's education system
6748,it,refer to,second language
6749,it,refer,first language
6750,it,is used,mother tongue in general refers
6751,Singapore,in,education system
6752,mother tongue,refers to,first language
6753,it,refer,language
6754,it,is used,mother tongue in general refers to language internationally
6755,it,is used,refer
6756,it,is used,mother tongue in general refers internationally
6757,Students,take,simpler syllabus
6758,simpler syllabus,drop,subject
6759,Students,take,syllabus
6760,Students,are,allowed
6761,syllabus,drop,subject
6762,Education,takes,place
6763,Education,takes place in,three stages
6764,level,is,compulsory
6765,primary level,is,compulsory
6766,Students,begin with,six years
6767,Students,begin with,six years of primary school
6768,Students,begin with,six years of school
6769,curriculum,is focused on,development
6770,curriculum,is focused on,development of English
6771,curriculum,is,focused
6772,school,is,divided
6773,school,is divided between,Special in school
6774,Secondary school,is divided between,Express
6775,school,is divided between,Special in school depending on student 's ability level
6776,school,in Special is,Express
6777,depending student 's ability level,on Special is,Express
6778,Secondary school,is,divided
6779,Secondary school,is divided between,Special in school depending on student 's ability level
6780,Secondary school,is divided between,Special in school
6781,school,is divided between,Express
6782,basic coursework breakdown,is same as,as primary level
6783,basic coursework breakdown,is same,much more specialised
6784,classes,are,specialised
6785,coursework breakdown,is same as,as primary level
6786,coursework breakdown,is same,specialised
6787,basic coursework breakdown,is,same
6788,basic coursework breakdown,is same,specialised
6789,coursework breakdown,is,same
6790,basic coursework breakdown,is same as,as level
6791,basic coursework breakdown,is same,more specialised
6792,coursework breakdown,is same,much more specialised
6793,coursework breakdown,is same,more specialised
6794,classes,are,more specialised
6795,classes,are,much more specialised
6796,coursework breakdown,is same as,as level
6797,education,takes place at,schools
6798,Pre-university education,takes place at,senior schools
6799,education,takes,place
6800,Pre-university education,takes,place
6801,Pre-university education,takes place at,schools
6802,education,takes place at,senior schools
6803,courses,are offered in,post-secondary education institutions
6804,Technical Education,of Institutes is,ITEs
6805,courses,are offered in,education institutions
6806,courses,are offered in,other education institutions
6807,courses,are offered in,post-secondary education institutions including 5 polytechnics
